id,adult_count,child_count,rooms_in_hh,years_in_community,primary_dw_source,daily_hh_water_cost_for_pay_to_fetch,water_storage_drinking_water,coli_mpn,tc_mpn,tap_closure_days_per_week,estimated_storage_capacity_liters,total_people,people_per_room,consumption_risk_score,water_access_score,estimated_non_dw_storage_capacity,estimated_stored_non_dw,avg_price_per_liter_cedis,Leak_Alert
62.0,1.0,0.0,1.0,5.0,1,4.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,3.401868981617823,9.097139029635168,0.0,0.0,0.08040615759132325,0.0
63.0,1.0,0.0,1.0,10.0,1,2.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,4.1233270218370714,11.501999163699331,600.0,600.0,0.08040615759132325,1.0
64.0,1.0,0.0,1.0,27.0,1,4.0,1.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,3.070330988964433,7.9920123874572,1000.0,500.0,0.08040615759132325,1.0
65.0,7.0,0.0,0.0,5.0,1,28.0,1.0,13.444730972413595,100.0,3.0,6057.0,7.0,70.0,34.843500709075464,36.81166903025154,199.0,148.0,0.08040615759132325,0.0
66.0,1.0,1.0,1.0,20.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,2.236341745851453,2.9696240013230244,500.0,500.0,0.08040615759132325,0.0
67.0,1.0,0.0,1.0,3.0,1,4.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,5.363908749357462,15.637271588767298,0.0,0.0,0.08040615759132325,0.0
68.0,2.0,1.0,1.0,5.0,1,10.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,2.727272727272727,6.246204233191781,14.09340805003321,200.0,200.0,0.08040615759132325,0.0
69.0,3.0,3.0,0.0,4.0,1,13.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,60.0,24.864209007052445,14.880696690174815,0.0,0.0,0.08040615759132325,0.0
70.0,3.0,0.0,2.0,25.0,1,14.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,1.4285714285714286,6.882932228278315,17.514535999022954,150.0,150.0,0.08040615759132325,0.0
71.0,4.0,0.0,0.0,10.0,1,16.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,40.0,19.93214146198498,21.107138206616604,0.0,0.0,0.08040615759132325,0.0
72.0,2.0,2.0,1.0,20.0,0,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,3.6363636363636362,7.812667675572957,17.072528615546222,80.0,80.0,0.08040615759132325,0.0
73.0,20.0,2.0,1.0,28.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,22.0,20.0,14.772605122965638,-0.09131625678121047,250.0,250.0,0.08040615759132325,1.0
74.0,5.0,0.0,1.0,10.0,1,45.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,22.73234562144542,64.56236419269685,120.0,120.0,0.08040615759132325,0.0
75.0,7.0,0.0,1.0,20.0,1,48.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,22.945282123169846,60.78730404692979,0.0,0.0,0.08040615759132325,0.0
76.0,2.0,0.0,0.0,14.0,1,11.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,20.0,14.470427954230647,25.568093180768823,40.0,40.0,0.08040615759132325,0.0
77.0,1.0,3.0,1.0,1.0,1,6.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,3.6363636363636362,5.955713188099799,10.882680323969028,0.0,0.0,0.08040615759132325,0.0
78.0,4.0,0.0,0.0,4.0,1,19.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,40.0,22.876583948410175,30.921946494700585,0.0,0.0,0.08040615759132325,0.0
79.0,3.0,0.0,1.0,0.0,1,12.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,2.727272727272727,7.014507831277516,16.654420043652326,0.0,0.0,0.08040615759132325,0.0
80.0,3.0,0.0,1.0,3.0,1,12.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,2.727272727272727,8.104135420189635,20.28651200669272,0.0,0.0,0.08040615759132325,0.0
81.0,7.0,0.0,1.0,1.0,1,31.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,18.93155489258273,47.40821327830608,0.0,0.0,0.08040615759132325,0.0
82.0,3.0,7.0,1.0,7.0,1,24.0,0.0,13.444730972413595,100.0,3.0,6057.0,10.0,9.09090909090909,14.689822159953861,26.54183144227045,0.0,0.0,0.08040615759132325,0.0
83.0,3.0,0.0,1.0,11.0,1,29.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,2.727272727272727,16.07570096623792,46.85839716018701,0.0,0.0,0.08040615759132325,0.0
84.0,1.0,4.0,1.0,10.0,1,10.0,1.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,8.638540134964096,17.58301257109244,0.0,0.0,0.08040615759132325,0.0
85.0,3.0,0.0,2.0,30.0,1,14.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,1.4285714285714286,8.740082396070632,23.705036558330676,0.0,0.0,0.08040615759132325,0.0
86.0,2.0,0.0,1.0,30.0,1,8.0,1.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,6.24493249122555,16.331593152570015,0.0,0.0,0.08040615759132325,0.0
87.0,1.0,1.0,1.0,20.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,1.0180596684201824,-1.0913162567812105,1000.0,1000.0,0.08040615759132325,1.0
88.0,2.0,0.0,1.0,5.0,1,5.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,3.594702545088551,7.497493332113353,125.0,125.0,0.08040615759132325,0.0
89.0,4.0,1.0,2.0,15.0,1,4.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,2.380952380952381,3.353636045598371,2.131167771042189,500.0,500.0,0.08040615759132325,0.0
90.0,3.0,2.0,1.0,30.0,1,5.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,5.134153544449211,5.901723936042826,500.0,500.0,0.08040615759132325,0.0
91.0,1.0,3.0,1.0,30.0,1,4.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,3.6363636363636362,5.261693815261803,8.569282414509042,250.0,250.0,0.08040615759132325,0.0
92.0,3.0,2.0,2.0,67.0,1,1.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,2.380952380952381,2.3909419315214406,-1.0778126092142466,300.0,300.0,0.08040615759132325,0.0
93.0,2.0,0.0,2.0,66.0,1,4.0,1.0,13.444730972413595,100.0,3.0,6057.0,2.0,0.9523809523809523,3.8485850353138193,9.209569165331779,700.0,700.0,0.08040615759132325,1.0
94.0,2.0,3.0,1.0,28.0,1,2.0,0.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,3.797175205124541,1.4451294716272596,600.0,600.0,0.08040615759132325,0.0
